name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm
E. Bush,37,United States,186,85,63,GK,39,62,62,20,63,65,15,65,20,50,1.0,1.86
M. Crocombe,29,New Zealand,194,88,63,GK,56,59,58,54,62,58,38,58,54,37,1.0,1.94
K. Rowe,31,United States,173,68,63,LB,58,61,65,66,58,63,73,58,68,65,1.0,1.73
C. Booth,32,Scotland,181,75,63,LB,59,49,54,62,61,64,61,64,63,35,0.0,1.81
K. Forenc,30,Poland,191,87,63,GK,52,61,59,51,62,81,35,81,51,41,0.0,1.91
A. Al Hafith,30,Saudi Arabia,185,80,63,CB,33,36,49,45,62,74,69,78,61,42,1.0,1.85
Francisco Júnior,31,Guinea Bissau,172,65,63,CDM,72,54,55,65,57,66,80,53,81,58,1.0,1.72
K. Morris,29,England,178,71,63,RW,69,61,59,66,53,67,75,66,80,60,0.0,1.78
Park Bae Jong,33,Korea Republic,185,78,63,GK,59,60,57,37,62,62,33,62,37,54,1.0,1.85
H. Aiesh,28,Syria,180,72,63,RW,83,56,55,64,43,67,64,69,81,61,1.0,1.8
J. Wilson,27,England,183,73,63,ST,69,63,55,61,26,65,72,73,69,58,0.0,1.83
D. Jones,28,England,183,79,63,CB,66,27,53,55,62,72,68,73,57,43,0.0,1.83
F. Godoy,33,Argentina,180,72,63,CM,59,54,62,63,62,66,64,63,63,57,1.0,1.8
L. Ashcroft,29,Scotland,183,70,63,CB,56,31,43,48,62,75,66,82,37,44,1.0,1.83
G. Rólantsson,30,Faroe Islands,187,82,63,RB,74,55,57,61,57,63,65,65,68,54,1.0,1.87
L. Dürholtz,29,Germany,178,65,63,CM,63,53,60,65,58,64,79,56,74,59,0.0,1.78
Álex Bernal,32,Spain,175,64,63,CDM,65,52,55,57,60,67,64,67,68,53,1.0,1.75
A. Al Fahad,29,Saudi Arabia,178,75,63,CB,73,46,51,55,62,71,77,71,71,48,1.0,1.78
Carlos Hernández,32,Spain,185,80,63,CB,35,45,47,43,63,72,61,81,36,40,1.0,1.85
R. Jackson,32,England,175,65,63,RB,81,52,55,61,54,73,83,78,77,55,1.0,1.75
A. O'Connor,30,Republic of Ireland,188,80,63,CB,53,44,53,55,60,78,77,82,59,55,1.0,1.88
P. McGinn,32,Scotland,175,76,63,CB,66,53,56,61,62,71,80,67,69,52,1.0,1.75
J. Donachie,30,Australia,193,85,63,CB,54,32,48,43,62,76,78,85,46,33,1.0,1.93
S. Braun-Schumacher,34,Germany,178,82,63,CB,43,42,47,54,64,70,76,68,63,39,1.0,1.78
D. Mangni,30,Italy,176,73,63,ST,82,60,46,67,25,64,72,72,79,49,0.0,1.76
M. Jay,27,England,169,64,63,CAM,82,62,59,67,33,50,86,33,92,59,1.0,1.69
A. Cabrera,32,Bolivia,180,77,63,CB,55,30,46,56,64,65,57,73,52,43,0.0,1.8
T. Conlon,27,England,173,62,63,CM,72,59,63,66,58,64,75,55,82,64,0.0,1.73
A. Bakayoko,27,Sierra Leone,193,85,63,ST,76,61,48,58,41,78,73,81,43,52,0.0,1.93
J. Rossiter,26,England,178,64,63,CDM,54,50,55,61,61,70,73,70,63,58,1.0,1.78
R. Al Mousa,28,Saudi Arabia,175,79,63,CDM,59,42,55,57,62,71,71,73,69,56,1.0,1.75
Yoon Pyung Gook,31,Korea Republic,189,85,63,GK,55,62,62,32,62,75,25,75,32,54,0.0,1.89
S. Galloway,28,Australia,172,72,63,RB,77,55,56,62,58,73,72,74,75,56,1.0,1.72
N. Al Mousa,32,Saudi Arabia,169,68,63,CDM,46,52,62,64,59,65,76,67,67,64,1.0,1.69
B. Dabanlı,33,Germany,190,88,63,CB,32,34,52,48,61,73,53,84,31,48,0.0,1.9
R. Gaffney,33,Republic of Ireland,184,76,63,ST,57,63,53,58,39,70,63,75,47,55,1.0,1.84
O. Silverholt,29,Sweden,176,69,63,RB,68,46,60,59,55,61,73,56,61,53,1.0,1.76
T. Al Absi,30,Saudi Arabia,177,72,63,CB,53,25,39,47,64,68,60,73,46,33,1.0,1.77
S. Roux,30,New Zealand,181,71,63,RB,75,42,51,60,56,75,79,78,76,51,1.0,1.81
R. Oates,28,England,188,74,63,ST,85,61,51,63,34,73,75,76,79,56,1.0,1.88
T. Davies,31,England,185,78,63,CB,54,27,41,47,62,74,70,74,58,35,1.0,1.85
L. Smith,27,Scotland,173,68,63,RB,73,45,54,57,60,70,78,66,59,50,1.0,1.73
E. Özgenç,38,Turkey,177,71,63,RB,57,55,65,64,62,66,58,68,61,60,1.0,1.77
M. Demetriou,32,England,188,79,63,CB,51,47,55,58,62,72,76,73,68,42,0.0,1.88
E. Taşdemir,27,Turkey,176,70,63,LB,72,58,61,64,59,53,55,47,70,59,0.0,1.76
B. Youssouf,29,Comoros,176,73,63,RB,70,48,57,61,58,61,64,58,65,54,1.0,1.76
A. Yaşar,28,Turkey,180,70,63,LB,68,28,53,58,62,57,57,57,69,28,0.0,1.8
R. Hunt,27,England,171,67,63,LB,77,35,56,63,56,61,80,54,84,50,1.0,1.71
B. Purrington,27,England,178,73,63,LB,70,45,57,63,59,67,65,72,75,54,0.0,1.78
C. Randall,27,England,180,76,63,RB,65,48,59,60,60,67,61,70,47,54,1.0,1.8
C. Long,28,England,179,77,63,ST,76,62,50,63,31,64,51,69,68,54,1.0,1.79
S. O'Neill,29,United States,188,87,63,CB,52,47,55,55,61,73,59,80,50,50,1.0,1.88
K. Jałocha,32,Poland,201,93,63,GK,44,69,73,37,64,79,25,79,37,32,1.0,2.01
J. Sims,26,England,175,67,63,LW,79,58,58,65,37,51,66,48,79,57,1.0,1.75
O. Palmer,31,England,196,92,63,ST,55,62,49,56,26,81,66,91,33,58,1.0,1.96
J. Manconi,29,Italy,180,72,63,ST,72,60,60,66,31,59,57,61,76,67,1.0,1.8
S. Buș,30,Romania,185,85,63,ST,62,63,58,59,42,70,65,76,60,60,1.0,1.85
Jeong Hyun Cheol,30,Korea Republic,187,72,63,CDM,47,51,56,57,60,71,71,76,59,61,1.0,1.87
F. Krogstad,28,Norway,181,80,63,CM,63,54,63,61,59,70,75,73,58,62,1.0,1.81
P. Kotal,29,India,179,74,63,CB,72,40,47,54,61,77,90,72,69,43,1.0,1.79
Frédéric Maciel,29,Portugal,175,65,63,RW,71,61,54,67,26,58,70,51,73,50,1.0,1.75
F. Schubert,28,Austria,194,84,63,ST,70,63,47,56,36,75,67,88,58,45,1.0,1.94
G. O'Neill,28,Republic of Ireland,180,76,63,CM,51,56,62,61,61,75,85,72,60,63,1.0,1.8
Kim Yong Hwan,30,Korea Republic,175,67,63,RB,85,39,56,63,54,67,76,65,76,57,1.0,1.75
B. Sweat,31,United States,188,80,63,LB,65,43,61,62,60,69,63,71,62,64,0.0,1.88
Liao Lisheng,30,China PR,180,70,63,CM,69,59,62,63,63,65,75,59,75,63,1.0,1.8
J. Böðvarsson,31,Iceland,190,85,63,ST,63,62,59,60,37,70,71,77,61,62,1.0,1.9
R. Croasdale,28,England,170,69,63,CDM,65,53,57,64,60,60,90,45,86,58,1.0,1.7
Zheng Kaimu,31,China PR,186,80,63,CB,65,51,52,54,60,77,80,80,61,59,1.0,1.86
O. Khan,27,Pakistan,170,71,63,LW,82,55,57,64,53,56,72,56,87,60,1.0,1.7
F. Fumu Tamuzo,28,France,180,73,63,RW,89,56,51,66,32,61,64,68,83,50,1.0,1.8
A. Tarbell,29,United States,191,88,63,GK,48,65,67,25,65,57,26,57,25,29,1.0,1.91
Han Pengfei,30,China PR,190,88,63,CB,44,51,53,57,60,79,82,85,56,54,1.0,1.9
Ahn Tae Hyun,30,Korea Republic,174,70,63,LB,75,56,52,62,57,64,83,59,70,53,1.0,1.74
An Byong Jun,33,Korea DPR,183,75,63,ST,57,68,49,57,30,72,72,78,58,42,1.0,1.83
Sander Asevedo,27,Brazil,187,80,63,GK,51,52,47,39,61,76,45,76,39,59,1.0,1.87
S. Skarlatidis,32,Germany,174,71,63,LW,78,59,58,66,30,60,77,53,86,55,1.0,1.74
F. Gytkjær,30,Denmark,180,75,63,ST,61,62,57,64,35,62,62,63,68,56,1.0,1.8
M. Williams,27,Wales,187,77,63,CDM,50,45,57,57,62,70,69,71,57,59,1.0,1.87
Rao Weihui,34,China PR,177,76,63,LB,71,37,53,55,61,68,76,67,65,35,0.0,1.77
Li Shenglong,30,China PR,181,75,63,ST,80,60,55,58,44,71,66,71,71,52,1.0,1.81
He Guan,30,China PR,183,80,63,CB,71,31,52,53,61,74,83,74,71,45,1.0,1.83
Peng Xinli,31,China PR,177,64,63,CM,78,61,63,66,61,65,76,59,84,59,0.0,1.77
W. Aimson,29,England,186,79,63,CB,56,32,45,49,62,69,57,76,57,34,1.0,1.86
J. Soltvedt,27,Norway,188,77,63,LB,70,55,57,60,58,62,70,60,60,56,0.0,1.88
D. Bahamboula,28,Congo,185,70,63,RW,82,60,56,67,42,68,68,74,76,58,1.0,1.85
S. Ring,28,Sweden,178,74,63,LB,71,33,60,61,57,71,76,67,73,58,0.0,1.78
L. Röser,29,Germany,184,80,63,ST,71,63,53,63,32,65,60,71,67,53,1.0,1.84
Gustavo Costa,28,Brazil,177,69,63,CAM,62,52,61,64,34,55,68,55,58,64,1.0,1.77
M. Farrona Pulido,30,Germany,175,70,63,LW,82,57,53,69,27,51,69,47,85,58,1.0,1.75
L. Scherff,26,Germany,175,70,63,LW,74,51,55,66,57,71,75,68,82,58,0.0,1.75
Ibson Melo,33,Brazil,179,74,63,ST,73,61,59,70,37,65,75,67,78,61,0.0,1.79
Néstor Albiach,30,Spain,187,81,63,CAM,69,62,62,67,25,69,65,70,80,61,0.0,1.87
C. Moros Gracia,30,Spain,183,79,63,CB,63,32,49,57,60,71,62,74,57,47,1.0,1.83
F. Luna,33,Argentina,175,70,63,CAM,61,52,60,63,37,56,62,56,62,71,0.0,1.75
Fachendinho,31,Brazil,181,74,63,ST,44,66,53,63,26,65,69,67,58,41,1.0,1.81
T. Seto,37,Japan,181,73,63,CDM,51,57,60,60,64,61,58,63,62,63,1.0,1.81
M. Roman,31,Romania,191,80,63,ST,55,63,54,58,32,67,54,81,50,52,0.0,1.91
Li Songyi,30,China PR,183,71,63,CB,47,40,60,58,62,73,69,82,58,67,1.0,1.83
Lee Myung Jae,29,Korea Republic,182,68,63,LB,69,43,59,66,56,61,64,56,74,57,0.0,1.82
D. Widgren,29,Sweden,180,77,63,LB,67,45,59,60,60,66,73,66,67,58,0.0,1.8
Z. Al Sahafi,29,Saudi Arabia,184,71,63,CB,44,56,52,51,60,75,68,81,55,40,1.0,1.84
Liao Junjian,29,China PR,185,74,63,CB,62,50,56,61,63,72,81,72,75,58,1.0,1.85
İ. Akdağ,31,Turkey,179,75,63,CDM,54,50,61,58,61,59,62,54,48,58,1.0,1.79
M. Haas,27,Austria,180,76,63,LB,72,49,55,60,59,66,67,66,64,43,0.0,1.8
A. Abdu,26,Saudi Arabia,175,72,63,ST,60,65,48,60,20,61,63,72,55,55,1.0,1.75
P. Arano,28,Bolivia,187,70,63,LW,66,61,54,66,39,65,82,56,71,52,0.0,1.87
M. Moro,28,Ghana,172,65,63,ST,84,61,54,67,33,60,65,59,77,59,1.0,1.72
F. Arismendi,32,Uruguay,175,70,63,RW,69,56,62,64,49,61,64,62,72,64,1.0,1.75
M. Sylla,29,France,189,81,63,CDM,65,41,53,55,62,75,82,73,59,54,1.0,1.89
S. Campo,27,Switzerland,177,70,63,CAM,68,61,65,63,39,58,65,61,69,66,0.0,1.77
E. Guerrero,32,Chile,181,83,63,CB,32,26,39,30,65,64,36,79,31,27,1.0,1.81
B. Johnsen,31,Norway,196,81,63,ST,62,64,50,59,41,66,35,81,58,51,1.0,1.96
Matheus Pato,28,Brazil,185,75,63,ST,70,65,42,64,30,48,56,49,69,48,1.0,1.85
W. Cabrera,33,Paraguay,183,79,63,CB,60,36,44,47,65,65,61,70,45,26,1.0,1.83
C. Doidge,30,Wales,185,77,63,ST,41,64,52,60,36,80,76,84,61,58,1.0,1.85
Y. Merdji,29,France,175,69,63,ST,81,62,56,65,19,72,79,68,82,57,1.0,1.75
L. Fritzson,27,Sweden,184,77,63,CM,73,59,59,64,62,73,82,70,76,58,1.0,1.84
D. van Crooij,32,Netherlands,185,78,63,GK,42,62,60,28,63,43,26,43,28,41,1.0,1.85
J. Bergström,28,Sweden,195,95,63,ST,65,61,44,58,37,79,66,91,39,51,1.0,1.95
R. Montero,32,Bolivia,182,85,63,CB,27,36,49,44,64,67,38,83,29,46,1.0,1.82
D. Zator,28,Canada,188,85,63,RB,63,29,42,52,64,80,72,86,56,25,1.0,1.88
C. Árabe,31,Bolivia,175,71,63,CM,58,58,63,69,53,60,61,65,70,58,1.0,1.75
R. Farro,38,Peru,179,80,63,GK,55,61,60,40,63,76,38,76,40,20,1.0,1.79
S. Navarro,32,Bolivia,168,65,63,LB,62,30,53,51,62,58,65,57,61,35,0.0,1.68
A. Șeroni,36,Romania,195,90,63,CB,31,35,43,35,62,76,53,85,31,40,0.0,1.95
Lin Liangming,26,China PR,182,75,63,LW,81,60,60,59,24,55,59,60,86,54,1.0,1.82
K. Brünker,29,Germany,190,82,63,ST,63,63,48,57,32,80,79,85,58,54,1.0,1.9
Yao Junsheng,27,China PR,172,65,63,RW,71,58,63,64,55,62,66,59,83,61,0.0,1.72
A. Al Khatib,28,Saudi Arabia,186,72,63,CB,73,26,43,56,61,72,75,76,65,32,1.0,1.86
J. Pritchard,26,England,174,66,63,RW,72,59,61,65,57,61,69,58,77,63,1.0,1.74
L. Grace,30,Republic of Ireland,189,81,63,CB,49,26,42,52,62,71,67,77,40,32,1.0,1.89
M. Hippolyte,28,Grenada,183,74,63,CM,84,60,61,64,54,71,80,71,68,62,0.0,1.83
W. Le Pogam,30,France,183,73,63,LB,63,34,55,62,56,63,83,59,62,33,0.0,1.83
D. Szczepan,28,Poland,179,78,63,ST,69,62,42,62,30,72,68,73,69,55,1.0,1.79
J. Kizzi,30,England,185,80,63,RB,68,51,56,58,57,74,90,76,56,54,1.0,1.85
M. Mareco,29,Paraguay,172,69,63,RB,62,24,52,57,62,60,64,61,60,40,1.0,1.72
B. Egüez,31,Bolivia,175,77,63,RW,72,62,60,63,54,57,59,56,66,60,1.0,1.75
F. Winsth,32,Sweden,176,67,63,RB,69,31,52,59,58,66,71,64,62,43,1.0,1.76
Netinho,29,Brazil,171,69,63,RW,71,46,57,65,56,64,77,58,78,56,1.0,1.71
D. Vukojević,27,Sweden,183,84,63,ST,81,62,56,64,21,68,70,71,76,59,1.0,1.83
J. Enkerud,33,Norway,190,81,63,ST,67,62,50,61,25,71,72,78,58,50,1.0,1.9
L. Hroššo,36,Slovakia,196,91,63,GK,40,61,61,25,63,71,18,71,25,41,0.0,1.96
L. Dumitriu,30,Romania,178,73,63,CM,73,61,62,63,54,69,76,68,76,63,1.0,1.78
I. Biceanu,29,Romania,178,70,63,CDM,66,58,58,60,59,70,70,70,66,59,1.0,1.78
M. Martac,31,Romania,170,71,63,RB,70,41,56,59,58,67,73,67,77,52,1.0,1.7
Adrián Rocheira,27,Brazil,182,73,63,CDM,54,31,53,43,70,56,58,65,56,53,1.0,1.82
A. Arancibia,33,Bolivia,188,91,63,GK,44,62,62,33,63,58,38,58,33,48,1.0,1.88
A. Țigănașu,33,Romania,179,74,63,LB,68,51,57,53,59,69,80,71,71,50,0.0,1.79
J. Tunnicliffe,29,England,185,82,63,CB,53,26,45,50,62,75,75,79,46,45,1.0,1.85
E. Valderrey,37,Venezuela,174,72,63,CM,72,61,57,62,60,66,64,71,65,65,1.0,1.74
A. Bolyki,28,Germany,187,78,63,ST,82,61,57,60,43,67,70,66,64,57,1.0,1.87
P. Lienhard,31,Germany,167,66,63,CM,70,52,61,64,62,56,67,49,85,65,1.0,1.67
J. Öst,32,Finland,194,90,63,GK,46,64,65,32,62,75,30,75,32,62,1.0,1.94
M. Levato,27,Argentina,188,83,63,ST,59,62,47,59,23,63,60,75,52,46,1.0,1.88
C. Moreno,31,Colombia,180,70,63,RB,59,32,47,52,63,60,64,61,55,35,1.0,1.8
G. Jannez,34,France,196,80,63,CB,44,27,35,41,66,70,68,77,41,31,1.0,1.96
T. Sinquin,31,France,180,75,63,CDM,61,41,57,59,60,68,73,66,58,56,1.0,1.8
D. Thiam,33,France,179,68,63,RB,72,25,48,57,60,67,68,68,64,42,1.0,1.79
F. Ilie,31,Romania,188,83,63,CB,61,35,43,41,62,74,73,78,62,37,0.0,1.88
J. Belshaw,32,England,191,86,63,GK,58,60,60,39,63,67,20,67,39,61,1.0,1.91
F. El Khoumisti,30,France,180,75,63,ST,68,67,50,63,27,63,62,74,64,57,1.0,1.8
R. Lamie,30,Scotland,189,95,63,CB,50,30,48,56,62,73,72,77,58,35,0.0,1.89
J. Mina,28,Ecuador,172,72,63,LB,81,48,56,65,57,67,63,72,83,53,0.0,1.72
A. Bjarnason,27,Iceland,173,70,63,RB,76,58,59,63,57,60,66,58,73,59,0.0,1.73
Koldo Obieta,29,Spain,187,82,63,ST,33,65,49,55,23,70,56,86,55,56,1.0,1.87
A. Al Mousa,33,Saudi Arabia,175,70,63,CAM,72,58,60,69,45,64,73,73,71,64,1.0,1.75
M. Ekenberg,34,Sweden,188,85,63,ST,62,64,53,60,29,72,71,77,61,64,1.0,1.88
A. Drury,30,England,180,79,63,CM,67,52,67,64,49,63,64,66,62,73,1.0,1.8
D. Corti,34,Italy,174,70,63,CDM,41,54,62,64,55,68,70,66,72,65,1.0,1.74
Javi Soria,30,Spain,178,75,63,CB,58,52,50,49,61,72,73,75,61,34,1.0,1.78
M. Temür,24,Turkey,178,77,63,CAM,64,59,65,67,31,52,47,60,75,66,1.0,1.78
J. Bravo,32,Chile,176,73,63,GK,57,60,61,50,67,51,29,51,50,25,1.0,1.76
J. Podgórski,27,Poland,180,78,63,RW,77,58,60,60,60,74,81,71,68,58,1.0,1.8
E. Shikavka,30,Belarus,185,80,63,ST,64,63,51,60,34,67,69,70,61,58,1.0,1.85
P. Grabher,29,Austria,170,65,63,CM,61,52,56,64,61,62,85,52,64,53,0.0,1.7
Liu Tao,38,China PR,185,77,63,CB,39,38,47,46,64,69,61,75,42,45,1.0,1.85
P. Krawczyk,28,Poland,187,78,63,ST,66,63,52,57,21,63,65,70,60,46,0.0,1.87
Leo Cordeiro,27,Brazil,174,67,63,CAM,63,50,62,66,48,55,58,53,68,64,1.0,1.74
O. Pozo,30,Chile,170,74,63,CDM,51,36,61,53,63,72,92,65,71,43,0.0,1.7
F. Ibáñez,28,Chile,180,72,63,ST,68,65,49,62,39,62,68,65,61,58,1.0,1.8
O. Schokker,29,Netherlands,179,76,63,RW,41,63,70,68,34,56,59,67,66,72,0.0,1.79
N. Riley,28,Scotland,178,65,63,RW,81,48,59,66,42,64,70,63,81,61,1.0,1.78
S. Galarza,38,Bolivia,176,63,63,GK,56,66,68,60,65,62,31,62,60,25,1.0,1.76
M. Sambou,27,Senegal,188,87,63,CB,56,40,48,40,58,80,73,86,56,46,1.0,1.88
I. Nakajima-Farran,30,Canada,178,72,63,LW,77,62,56,67,42,56,63,52,72,53,1.0,1.78
G. Özkan,28,Sweden,178,73,63,RW,65,59,59,69,35,48,34,58,72,66,1.0,1.78
J. Sánchez,30,Mexico,184,72,63,CB,45,40,52,51,63,65,45,75,42,49,1.0,1.84
G. Bettiol,28,France,180,79,63,ST,70,65,55,59,28,61,72,63,66,60,1.0,1.8
P. Głowacki,31,Poland,182,79,63,LB,75,46,59,60,56,54,76,47,62,57,0.0,1.82
D. Celeadnic,31,Moldova,195,79,63,GK,45,65,64,35,63,70,33,70,35,52,0.0,1.95
Z. Petrović,27,Montenegro,190,84,63,ST,77,62,57,59,32,59,66,64,62,56,1.0,1.9
N. Jann,31,Germany,178,72,63,LW,68,58,61,65,50,63,75,59,76,65,0.0,1.78
A. Lindahl,28,Sweden,180,70,63,RB,79,48,61,68,54,58,64,58,73,56,1.0,1.8
Han Ho Gang,29,Korea Republic,186,80,63,CB,62,43,48,51,60,77,73,82,49,31,1.0,1.86
M. Al Amri,28,Saudi Arabia,185,72,63,CB,60,27,38,35,66,72,73,72,70,43,1.0,1.85
Toni Varela,28,Cape Verde Islands,171,69,63,CM,77,58,64,66,57,68,70,64,73,66,1.0,1.71
J. Chávez,28,Bolivia,175,69,63,CDM,62,51,62,60,56,64,82,59,71,60,1.0,1.75
Hernani,30,Poland,191,88,63,CB,66,46,48,54,61,76,70,84,65,43,1.0,1.91
S. Santana,34,Mexico,180,75,63,CAM,66,63,62,64,35,64,61,67,64,62,1.0,1.8
Gato,30,Spain,169,66,63,LW,77,68,60,63,35,47,62,34,82,60,1.0,1.69
M. Cordier,30,Belgium,183,75,63,GK,64,61,61,63,63,70,32,70,63,25,1.0,1.83
I. Sekagya,33,Uganda,185,81,63,CB,52,42,49,61,63,72,70,82,65,52,1.0,1.85
D. Barr,29,Scotland,180,65,63,CB,65,51,56,59,62,67,60,71,68,46,1.0,1.8
S. Öztürk,28,Germany,176,74,63,CM,73,66,65,64,53,58,71,53,74,64,1.0,1.76
B. Astorga,32,Chile,176,78,63,CB,43,30,31,43,63,71,62,77,62,25,1.0,1.76
J. Ramos,32,Colombia,179,74,63,RB,69,35,63,65,65,62,52,71,65,61,1.0,1.79
M. García,32,Colombia,185,78,63,LB,66,28,47,49,64,75,54,90,54,33,0.0,1.85
C. Pinzón,29,Colombia,187,79,63,GK,55,64,63,31,64,56,37,56,31,25,1.0,1.87
J. Vélez,30,Colombia,175,72,63,ST,63,64,54,62,41,67,55,75,72,55,1.0,1.75
J. Quintero,36,Colombia,176,75,63,CDM,53,48,64,65,55,63,36,73,70,63,1.0,1.76
H. Pearce,29,United States,178,79,63,CB,70,50,57,62,63,70,72,70,64,49,0.0,1.78
L. Buysens,28,Belgium,188,79,63,CB,47,41,50,46,64,67,74,68,57,52,1.0,1.88
E. Boakye,29,Ghana,173,73,63,RB,80,38,49,66,61,66,71,58,74,64,1.0,1.73
G. Jones,37,England,178,77,63,CM,58,62,67,58,60,81,86,82,65,66,1.0,1.78
Hong Soon Hak,33,Korea Republic,178,70,63,RB,72,56,59,61,64,65,67,66,56,63,1.0,1.78
A. Robinson,34,England,173,64,63,LW,56,64,65,66,37,59,48,59,58,69,1.0,1.73
Zamora,31,Spain,184,78,63,CB,59,33,52,49,62,72,68,73,49,48,1.0,1.84
G. De Porras,30,Argentina,180,72,63,ST,59,66,58,60,40,66,66,67,57,59,1.0,1.8
S. Bayrak,33,Turkey,188,86,63,CB,55,36,53,43,62,76,66,85,53,40,1.0,1.88
A. Dereli,33,Turkey,173,72,63,RB,56,36,60,62,64,65,59,67,64,60,1.0,1.73
M. Murdocca,29,Australia,165,60,63,CM,68,40,61,65,57,61,90,57,81,67,1.0,1.65
Carlos Álvarez,28,Spain,182,75,63,ST,76,61,55,61,39,59,64,57,78,55,1.0,1.82
C. Valdovinos,27,Mexico,174,61,63,RW,76,57,63,64,37,43,54,40,73,62,1.0,1.74
İ. Eker,31,Turkey,185,80,63,LB,60,32,54,51,64,72,67,74,51,45,0.0,1.85
C. Horváth,32,Slovakia,193,82,63,CB,41,43,43,43,63,75,74,83,29,48,1.0,1.93
Aloísio,29,Brazil,179,75,63,CAM,67,53,62,66,40,51,47,56,71,65,0.0,1.79
S. Clingan,30,Northern Ireland,180,73,63,CDM,67,61,64,61,60,66,71,63,60,61,1.0,1.8
R. Gercaliu,28,Austria,181,79,63,LB,64,38,58,60,62,71,67,74,61,55,0.0,1.81
J. Ashdown,33,England,190,92,63,GK,58,63,64,30,64,71,38,71,30,25,0.0,1.9
S. Derry,36,England,183,82,63,CM,29,47,62,53,68,74,63,78,62,62,1.0,1.83
F. Boi,32,Belgium,184,69,63,RW,62,66,65,60,62,66,86,61,61,68,1.0,1.84
S. Kirschstein,34,Germany,196,89,63,GK,51,61,63,37,64,77,28,77,37,25,1.0,1.96
M. Malinowski,38,Poland,179,74,63,CB,39,58,59,52,62,59,30,67,56,67,1.0,1.79
P. Brożek,31,Poland,178,74,63,LB,74,51,59,63,59,68,83,61,69,58,0.0,1.78
I. Osbourne,28,England,178,76,63,CDM,72,47,59,63,60,78,78,81,57,58,1.0,1.78
A. Cristiano,29,Italy,182,74,63,CM,75,60,65,61,48,66,72,63,63,69,1.0,1.82
Oriol,33,Spain,183,70,63,CB,56,43,52,46,62,73,62,74,56,43,1.0,1.83
A. Simon,31,Hungary,188,82,63,ST,66,62,55,61,42,64,65,72,62,60,1.0,1.88
D. O'Rourke,31,United States,183,74,63,CB,67,39,52,57,61,73,68,70,57,42,1.0,1.83
T. Danilevičius,35,Lithuania,187,81,63,ST,54,63,52,52,30,71,54,89,50,59,1.0,1.87
H. Reynoso,33,Mexico,186,93,63,CB,30,48,48,42,60,78,51,90,24,41,1.0,1.86
I. Romo,31,Mexico,192,88,63,ST,61,60,52,54,32,67,34,93,31,46,0.0,1.92
L. Chadwick,33,England,183,74,63,CAM,67,56,61,65,51,61,62,64,75,68,1.0,1.83
I. Harte,36,Republic of Ireland,176,78,63,LB,29,66,73,63,68,60,34,70,54,70,0.0,1.76
J. Goodwin,32,Republic of Ireland,183,77,63,CM,64,52,63,62,62,81,80,81,64,61,1.0,1.83
A. Lockwood,32,England,183,77,63,CB,41,33,43,54,66,67,68,71,64,49,1.0,1.83
K. Davies,37,England,183,80,63,ST,32,65,60,54,46,83,74,85,34,72,1.0,1.83
D. Connolly,37,Republic of Ireland,175,68,63,ST,53,63,49,61,31,57,51,58,55,63,1.0,1.75
S. Simonsen,35,England,188,80,63,GK,48,67,70,54,64,60,24,60,54,25,1.0,1.88
A. Belozerov,32,Russia,184,83,63,CB,57,39,50,38,63,76,81,80,63,46,1.0,1.84
R. Adzhindzhal,40,Russia,168,68,63,LW,34,68,69,70,35,41,34,36,88,70,1.0,1.68
S. Szałachowski,30,Poland,174,71,63,RW,87,62,48,65,34,48,60,39,76,37,1.0,1.74
B. Pliquett,29,Germany,199,95,63,GK,46,60,58,25,63,83,26,83,25,25,1.0,1.99
A. Due,32,Denmark,177,68,63,LW,72,60,62,61,32,62,66,58,71,63,0.0,1.77
J. Rentmeister,29,Belgium,189,84,63,CB,54,43,50,44,63,70,66,76,46,48,1.0,1.89
G. Petrovic,30,Sweden,186,86,63,CM,61,60,66,58,58,70,72,70,57,65,1.0,1.86
J. Chambers,33,England,178,74,63,RB,71,49,56,60,60,75,78,73,71,51,1.0,1.78
M. Amedick,31,Germany,194,85,63,CB,35,41,48,44,64,62,32,78,45,43,1.0,1.94
D. Schet,24,Netherlands,178,65,63,LW,78,60,59,65,30,42,57,39,84,49,1.0,1.78
Rojas,27,Spain,192,88,63,CB,53,29,34,33,64,71,64,81,33,30,1.0,1.92
M. Fogliaccia,26,Italy,180,70,63,LW,81,58,60,64,24,39,61,34,71,54,0.0,1.8
J. Vermeulen,27,Belgium,185,78,63,RB,62,55,63,62,63,67,68,71,58,64,1.0,1.85
T. Johansen,27,Denmark,180,73,63,LB,69,30,58,50,61,69,73,69,74,55,0.0,1.8
A. Mendomo,27,Cameroon,181,75,63,CDM,63,31,51,51,62,78,80,76,68,55,1.0,1.81
J. Godée,25,Netherlands,180,79,63,RW,74,61,57,66,39,69,65,72,65,54,1.0,1.8
R. Roche,35,France,186,86,63,GK,47,56,52,26,65,47,25,47,26,25,1.0,1.86
K. Haynes,34,Sweden,180,71,63,ST,57,62,63,62,39,68,77,64,64,67,1.0,1.8
J. Hempte,32,Belgium,180,78,63,LB,62,59,65,61,62,67,70,64,65,57,0.0,1.8
S. Joseph,36,Grenada,191,81,63,CM,63,63,59,63,61,67,54,70,59,65,1.0,1.91
