name,age,nationality,height_cm,weight_kg,overall,position,pace,shooting,passing,dribbling,defending,physical,stamina,strength,agility,vision,preferred_foot_encoded,height_cm_norm,position_encoded
J. Bahoya,18,France,180,76,65,CAM,64,62,58,71,38,49,45,54,72,65,1.0,1.8,0
A. Gaaei,20,Denmark,183,76,65,RB,75,48,62,66,59,61,64,58,68,63,1.0,1.83,8
K. Vargas,21,Costa Rica,175,70,65,ST,77,67,46,63,22,50,53,52,52,41,1.0,1.75,10
R. Sanchez,19,Uruguay,170,64,65,RW,77,61,58,65,36,53,54,59,75,56,1.0,1.7,9
T. Jacob,19,Argentina,180,74,65,RB,74,35,53,60,61,62,70,58,66,44,1.0,1.8,8
J. Wilson-Esbrand,20,England,176,65,65,LB,81,41,60,69,59,56,62,50,77,54,0.0,1.76,6
M. Ellertsson,21,Iceland,182,74,65,CM,68,68,62,69,55,55,50,59,69,61,0.0,1.82,4
Y. Amyn,19,Germany,172,68,65,LW,76,59,57,71,40,44,70,32,90,58,1.0,1.72,7
W. Viera,21,Paraguay,180,76,65,CDM,59,32,54,54,62,71,74,72,58,55,0.0,1.8,2
T. Oermann,19,Germany,187,76,65,CB,53,34,48,53,66,68,64,71,50,39,1.0,1.87,1
O. Rekik,21,Tunisia,186,80,65,CB,68,38,55,59,63,69,63,70,57,55,1.0,1.86,1
S. Doucouré,21,France,193,75,65,ST,55,62,48,60,25,72,64,79,46,53,1.0,1.93,10
Unai Marrero,21,Spain,189,82,65,GK,45,61,59,21,67,59,24,59,21,42,1.0,1.89,5
P. Yazbek,21,Australia,178,69,65,CDM,68,50,61,61,61,70,81,67,65,64,1.0,1.78,2
F. Oppegård,20,Norway,175,71,65,LB,78,53,59,64,59,61,65,62,76,52,0.0,1.75,6
M. Röhl,20,Germany,192,76,65,CM,73,49,64,68,59,68,78,70,67,59,1.0,1.92,4
J. Braaf,20,Netherlands,180,84,65,CF,76,62,60,71,40,67,69,69,82,60,1.0,1.8,3
Jaume Cuéllar,21,Bolivia,180,69,65,RW,77,66,59,69,26,55,58,58,61,65,1.0,1.8,9
N. Vouilloz,22,Switzerland,184,80,65,CB,66,28,46,45,64,76,70,79,63,32,1.0,1.84,1
Mortimer,22,Spain,176,70,65,RW,81,60,55,66,20,46,53,46,60,55,0.0,1.76,9
C. Widell,20,Sweden,191,86,65,CB,54,29,50,50,64,71,64,80,55,37,1.0,1.91,1
E. Bayram,20,Turkey,192,71,65,CB,61,31,49,58,64,68,65,66,62,36,1.0,1.92,1
S. Hansen,21,Netherlands,173,69,65,RW,82,63,57,69,28,58,64,57,79,63,1.0,1.73,9
T. Baeten,21,Belgium,182,79,65,ST,72,65,42,61,21,61,69,67,70,48,0.0,1.82,10
P. Ekwah,21,France,189,78,65,CDM,64,53,57,63,61,72,69,77,41,62,0.0,1.89,2
Kim Jeong hoon,22,Korea Republic,188,80,65,GK,43,60,57,30,66,59,24,59,30,36,1.0,1.88,5
T. Gulliksen,19,Norway,181,70,65,LW,72,58,61,71,49,56,74,46,85,62,1.0,1.81,7
K. Klaesson,22,Norway,189,76,65,GK,52,62,63,52,66,57,24,57,52,42,0.0,1.89,5
R. Al Hajj,21,Sweden,180,74,65,CAM,70,59,63,67,50,64,61,68,73,68,1.0,1.8,0
M. Bogusz,21,Poland,175,69,65,ST,71,68,64,67,38,59,62,60,73,65,1.0,1.75,10
D. Mbayo,21,Belgium,175,65,65,RW,82,61,56,72,29,44,39,49,84,54,0.0,1.75,9
S. Bajic,21,France,191,84,65,GK,45,65,65,35,65,41,29,41,35,43,1.0,1.91,5
S. Sohm,22,Switzerland,188,85,65,CDM,70,46,59,62,63,77,81,81,69,57,1.0,1.88,2
T. Leysen,21,Belgium,189,83,65,GK,50,60,60,37,68,48,28,48,37,32,0.0,1.89,5
N. Sigur,19,Croatia,180,68,65,RB,70,50,58,67,59,65,76,54,74,63,1.0,1.8,8
R. Labeau Lascary,20,France,184,72,65,ST,62,66,55,62,28,53,46,62,50,62,1.0,1.84,10
Kike Salas,21,Spain,186,80,65,CB,63,24,40,45,65,70,65,76,45,36,0.0,1.86,1
M. Zanotti,20,Italy,173,71,65,RB,78,59,68,68,60,58,53,58,79,66,1.0,1.73,8
David Torres,20,Spain,182,73,65,CB,59,27,54,46,66,63,60,67,47,50,0.0,1.82,1
F. Abiuso,20,Italy,185,78,65,ST,62,64,51,61,30,61,65,70,63,42,1.0,1.85,10
M. Senaya,22,France,179,65,65,RB,72,41,53,59,64,64,71,64,58,46,1.0,1.79,8
A. Oroz,20,Chile,171,64,65,RW,78,62,60,67,27,61,67,62,74,56,1.0,1.71,9
M. Adeline,19,France,180,63,65,CAM,64,58,65,68,56,61,60,61,63,65,1.0,1.8,0
J. Coburn,20,England,193,74,65,ST,61,64,47,61,22,70,67,80,53,49,1.0,1.93,10
Z. Van Den Bosch,19,Belgium,191,81,65,CB,59,25,56,48,65,59,35,70,51,52,1.0,1.91,1
E. Cornelisse,21,Netherlands,178,68,65,CB,72,33,60,60,65,64,67,64,70,55,0.0,1.78,1
A. Spina,21,Argentina,175,71,65,CDM,62,51,64,65,61,60,68,57,70,65,1.0,1.75,2
T. Rhein,20,Germany,173,71,65,CM,67,58,69,68,42,47,64,39,77,70,1.0,1.73,4
L. Delaurier-Chaubet,21,France,174,62,65,LW,70,61,69,67,29,40,59,34,59,59,0.0,1.74,7
Lee Jin Yong,22,Korea Republic,180,73,65,CM,59,48,61,64,63,70,86,65,65,63,1.0,1.8,4
K. Szmyt,21,Poland,171,68,65,RW,79,57,61,69,38,49,55,45,84,60,1.0,1.71,9
M. Bogarde,21,Netherlands,182,72,65,CB,60,30,53,65,66,62,68,59,73,58,1.0,1.82,1
I. Nuhu,21,Ghana,171,60,65,ST,79,63,57,73,32,45,60,39,91,55,1.0,1.71,10
Javi Castro,22,Spain,183,75,65,CB,64,32,42,49,66,67,67,67,60,31,1.0,1.83,1
Y. Oda,21,Japan,181,70,65,RW,73,58,61,67,39,53,42,57,70,63,1.0,1.81,9
L. Egloff,20,Germany,182,79,65,CAM,65,56,63,68,41,62,54,69,73,68,1.0,1.82,0
A. Bianco,20,Italy,173,63,65,CM,57,46,63,68,59,46,54,35,65,63,1.0,1.73,4
M. Rosołek,21,Poland,183,77,65,ST,76,61,56,65,26,61,71,63,72,52,1.0,1.83,10
D. Bettella,23,Italy,185,75,65,CB,60,35,47,50,67,60,42,66,51,42,1.0,1.85,1
O. Faraj,21,Sweden,182,77,65,ST,72,62,45,65,22,72,53,85,66,50,1.0,1.82,10
T. González,20,Argentina,168,65,65,ST,84,66,55,67,31,46,54,40,83,51,1.0,1.68,10
Sandro Cruz,22,Portugal,181,78,65,LB,80,33,59,63,58,64,75,61,62,54,0.0,1.81,6
M. Seoane,19,Argentina,178,67,65,CM,70,46,64,66,59,65,75,55,62,65,1.0,1.78,4
J. Bångsbo,20,Sweden,192,85,65,CB,57,26,47,46,66,68,58,76,42,31,0.0,1.92,1
T. Klidje,21,Togo,170,65,65,ST,81,63,56,69,26,65,67,64,84,58,1.0,1.7,10
M. Angulo,21,Ecuador,173,63,65,CDM,62,51,63,67,60,63,65,62,64,64,1.0,1.73,2
C. Jander,20,Germany,183,75,65,CM,76,47,64,69,61,65,71,61,74,67,1.0,1.83,4
I. Hamache,20,France,178,74,65,LW,81,63,56,67,18,51,56,56,79,59,1.0,1.78,7
N. Angulo,20,Ecuador,184,65,65,CAM,79,59,59,68,34,50,55,49,70,61,1.0,1.84,0
G. Aranda,22,Argentina,190,82,65,CB,54,30,42,50,65,72,64,79,46,33,1.0,1.9,1
Þ. Helgason,22,Iceland,187,66,65,CM,62,61,62,64,48,61,70,62,62,59,1.0,1.87,4
T. Gray,20,United States,180,74,65,RB,78,30,52,64,62,64,69,63,76,44,1.0,1.8,8
L. Fiorini,21,Scotland,178,68,65,CM,68,60,61,68,56,61,75,55,73,66,1.0,1.78,4
A. Malanda,21,France,185,75,65,CB,60,32,40,52,65,70,68,71,53,31,1.0,1.85,1
João Gonçalves,22,Portugal,188,80,65,GK,44,62,60,22,64,54,20,54,22,24,1.0,1.88,5
W. Taïbi,21,France,184,70,65,CM,52,50,65,67,53,65,80,65,57,68,1.0,1.84,4
J. Rudoni,22,England,185,77,65,CAM,72,57,60,67,60,66,80,63,70,62,0.0,1.85,0
K. Ehlers,22,Germany,186,84,65,CB,63,29,50,52,66,68,62,76,59,57,1.0,1.86,1
K. Al Ghannam,22,Saudi Arabia,173,64,65,LW,75,54,54,75,29,46,68,39,87,56,1.0,1.73,7
Miguel Morro,22,Spain,193,79,65,GK,56,64,62,31,64,58,29,58,31,42,0.0,1.93,5
S. Brolin,22,Sweden,202,85,65,GK,45,63,62,22,66,72,25,72,22,50,1.0,2.02,5
F. Ravaglia,23,Italy,191,75,65,GK,52,58,54,41,67,48,43,48,41,21,1.0,1.91,5
H. Tangen,22,Norway,177,73,65,CAM,75,59,61,70,37,67,76,64,79,61,1.0,1.77,0
I. Bowat,20,Scotland,190,83,65,CB,53,30,44,57,62,77,71,81,53,32,0.0,1.9,1
S. Vladi,22,Kosovo,184,82,65,ST,69,66,53,65,22,67,71,70,69,59,1.0,1.84,10
A. Jensen,21,Denmark,180,78,65,RB,73,58,61,62,60,65,72,63,62,60,1.0,1.8,8
J. Eseiza,21,Argentina,188,78,65,LB,68,42,54,63,62,67,69,67,65,50,0.0,1.88,6
J. Jurčec,22,Croatia,177,66,65,RB,75,55,61,70,57,53,67,45,75,63,1.0,1.77,8
Carlos Romero,21,Spain,180,70,65,LB,60,47,58,56,63,60,66,59,60,47,0.0,1.8,6
Magunagoitia,22,Spain,183,79,65,GK,46,64,63,39,64,53,25,53,39,52,1.0,1.83,5
L. Hornicek,20,Czech Republic,194,95,65,GK,45,63,64,38,67,61,21,61,38,21,1.0,1.94,5
Rubén Pulido,22,Spain,184,82,65,CB,65,37,52,55,64,69,66,69,57,34,1.0,1.84,1
R. Towler,21,England,187,77,65,CB,65,36,54,59,64,70,65,74,66,53,0.0,1.87,1
L. Martínez Dupuy,22,Mexico,180,77,65,ST,70,65,50,65,25,59,61,64,68,54,1.0,1.8,10
R. Herrera,22,Argentina,181,76,65,CDM,58,50,60,60,63,69,55,74,71,59,1.0,1.81,2
R. Reitz,21,Germany,176,72,65,CM,59,58,68,71,56,55,56,54,76,62,1.0,1.76,4
P. Pokorný,21,Slovakia,183,76,65,CDM,63,40,59,60,61,71,69,71,62,62,1.0,1.83,2
L. Philipp,22,Germany,192,83,65,GK,46,60,59,29,66,50,20,50,29,34,1.0,1.92,5
T. Simpson,21,England,186,81,65,ST,80,62,44,63,19,74,70,82,64,46,0.0,1.86,10
L. Ríos,22,Argentina,180,74,65,CM,63,51,61,64,62,58,64,57,62,68,1.0,1.8,4
S. Lammens,20,Belgium,193,92,65,GK,44,60,59,40,65,79,29,79,40,30,1.0,1.93,5
M. Juwara,21,Gambia,170,65,65,RW,82,62,54,69,28,49,54,43,76,58,0.0,1.7,9
J. Pombo,22,Argentina,192,84,65,CB,51,32,38,40,65,73,66,79,37,32,0.0,1.92,1
T. Schreiber,21,Germany,191,87,65,GK,50,62,63,44,65,65,36,65,44,42,1.0,1.91,5
T. Chukwuani,20,Denmark,187,64,65,CM,68,60,62,69,60,64,63,66,75,68,1.0,1.87,4
L. Blum,21,Switzerland,181,75,65,RB,73,26,56,59,61,63,70,63,66,55,1.0,1.81,8
J. Pignani,21,Argentina,190,80,65,CB,58,37,55,62,66,69,74,69,65,34,1.0,1.9,1
Álvaro Sanz,22,Spain,170,65,65,CM,54,54,63,67,64,50,47,47,67,69,1.0,1.7,4
É. Kinkoué,21,France,195,88,65,CB,62,31,48,45,61,78,63,87,57,38,1.0,1.95,1
Jorge Moreno,21,Spain,184,80,65,CB,72,36,47,45,65,69,75,68,56,33,1.0,1.84,1
Y. Baas,20,Netherlands,182,71,65,LB,68,34,56,63,61,61,70,59,59,46,0.0,1.82,6
M. Leonard,21,Scotland,180,76,65,CM,65,51,60,63,61,65,80,56,62,65,1.0,1.8,4
A. Mitchell,21,England,191,81,65,CB,53,35,46,46,63,77,63,85,34,35,1.0,1.91,1
L. Ennali,21,Germany,172,65,65,RW,81,59,54,69,28,50,64,47,83,55,1.0,1.72,9
J. N'Guessan,20,Côte d'Ivoire,177,80,65,CM,71,57,65,67,60,67,67,70,70,63,1.0,1.77,4
D. Wolfe,21,Norway,185,79,65,LB,70,51,58,64,60,65,75,62,66,53,0.0,1.85,6
N. Mehssatou,20,Chile,162,49,65,CDM,73,46,60,70,62,53,66,41,88,55,1.0,1.62,2
A. Obando,23,Argentina,172,69,65,LW,74,58,58,69,31,55,76,45,72,54,0.0,1.72,7
S. van Ottele,21,Netherlands,185,78,65,CB,49,34,47,46,66,69,69,76,49,36,1.0,1.85,1
J. Castillo,20,Venezuela,168,65,65,RW,78,67,60,63,21,61,69,67,69,65,0.0,1.68,9
J. García,23,Bolivia,170,62,65,LW,73,62,62,66,36,50,34,58,71,63,0.0,1.7,7
K. Csoboth,23,Hungary,174,70,65,RW,87,57,57,68,26,47,72,40,72,62,1.0,1.74,9
A. Manyoma,20,Colombia,169,69,65,CAM,83,58,59,69,41,59,55,59,89,62,1.0,1.69,0
Manuel Keliano,20,Angola,185,78,65,CDM,59,44,53,56,64,69,73,65,50,40,1.0,1.85,2
C. Ordoñez,21,Colombia,186,85,65,CB,69,34,38,44,64,71,54,83,45,31,1.0,1.86,1
P. Sučić,19,Bosnia and Herzegovina,180,76,65,CM,67,49,59,68,58,67,77,62,70,67,1.0,1.8,4
A. Saldivia,21,Uruguay,180,80,65,CB,69,25,44,54,65,71,74,73,64,43,1.0,1.8,1
B. Damiani,21,Uruguay,185,80,65,ST,63,65,54,61,32,67,63,74,65,62,1.0,1.85,10
N. Opoku,21,Ghana,183,78,65,ST,81,67,49,64,22,53,41,62,77,50,1.0,1.83,10
S. Kozuki,22,Japan,182,78,65,RW,70,52,62,72,43,51,63,46,77,63,1.0,1.82,9
L. Doucet,20,France,180,75,65,CDM,64,49,59,63,60,62,63,62,59,63,1.0,1.8,2
F. Perruzzi,22,Argentina,177,70,65,CDM,52,45,55,59,65,70,68,74,50,53,1.0,1.77,2
A. Florenzi,21,Italy,168,70,65,CM,77,50,62,67,51,62,76,57,76,63,1.0,1.68,4
J. Matete,22,England,176,65,65,CM,74,55,61,70,64,69,81,57,85,63,1.0,1.76,4
B. Yıldırım,20,Turkey,186,78,65,ST,70,63,47,61,32,72,67,75,64,54,1.0,1.86,10
A. Moreno Paz,21,Colombia,185,79,65,CB,53,28,42,50,65,69,66,72,61,40,1.0,1.85,1
G. Campbell,22,United States,188,84,65,CB,66,33,43,57,62,75,64,82,57,33,1.0,1.88,1
F. Lo Celso,23,Argentina,176,73,65,LW,68,56,67,65,56,56,53,56,68,67,0.0,1.76,7
T. Burey,22,England,187,74,65,ST,80,63,55,67,38,69,69,68,78,56,1.0,1.87,10
R. Gómez,24,Bolivia,180,75,65,CDM,63,51,58,61,65,68,80,65,68,65,1.0,1.8,2
H. Nicolussi Caviglia,23,Italy,184,70,65,CM,68,53,65,66,53,54,65,47,60,65,1.0,1.84,4
T. Salazar,23,Colombia,170,60,65,CM,62,61,61,66,59,44,66,30,68,64,1.0,1.7,4
A. Casar,22,Slovenia,190,86,65,CM,59,54,62,63,61,76,76,82,58,64,1.0,1.9,4
S. Mambo,24,Congo DR,184,76,65,CB,64,30,56,62,64,70,70,73,62,52,0.0,1.84,1
S. Tengstedt,23,Denmark,187,82,65,RW,77,59,58,66,21,61,59,67,67,50,0.0,1.87,9
J. Van Hecke,21,Belgium,180,65,65,RB,67,48,62,69,59,49,65,37,73,61,0.0,1.8,8
H. Burrows,21,England,168,55,65,CAM,79,57,61,68,60,50,73,34,86,63,0.0,1.68,0
P. Cárdenas,23,Chile,177,72,65,RB,71,44,56,58,60,70,82,68,64,48,1.0,1.77,8
I. Dolček,23,Croatia,181,76,65,LW,75,54,58,67,48,58,70,57,68,48,0.0,1.81,7
J. von Moos,22,Switzerland,181,77,65,RW,80,61,57,68,25,61,74,62,79,52,0.0,1.81,9
S. Belkahia,24,Germany,193,90,65,CB,70,37,42,54,63,77,73,81,60,29,1.0,1.93,1
C. Barros,23,Uruguay,164,63,65,RW,74,61,60,66,37,42,51,42,69,61,1.0,1.64,9
N. Ulariaga,21,Argentina,174,75,65,ST,75,65,50,67,30,69,61,77,72,53,1.0,1.74,10
F. Oncoy,22,Peru,182,82,65,CDM,68,61,61,59,62,67,65,69,52,63,1.0,1.82,2
G. Villamíl,22,Bolivia,175,64,65,CM,71,60,64,68,55,49,65,39,66,68,1.0,1.75,4
F. Dele-Bashiru,22,Nigeria,176,80,65,CM,77,61,59,73,57,77,75,81,74,59,1.0,1.76,4
Quintana,21,Spain,186,74,65,CDM,57,50,61,60,64,65,50,72,55,66,1.0,1.86,2
A. Amoo,21,Nigeria,163,68,65,RW,83,56,55,73,25,60,63,66,88,60,0.0,1.63,9
A. Ișfan,23,Romania,188,77,65,RW,75,62,61,66,34,67,79,68,75,61,0.0,1.88,9
R. Colwill,21,Wales,193,85,65,CAM,65,63,62,65,41,65,59,72,61,65,1.0,1.93,0
M. Mustapha,22,Austria,183,82,65,ST,78,66,55,64,24,75,65,78,69,63,1.0,1.83,10
C. Scott,21,Germany,178,82,65,CAM,76,63,57,70,26,50,62,40,83,62,1.0,1.78,0
I. Schmidt,23,Switzerland,172,68,65,LB,81,53,53,70,60,61,77,56,85,51,1.0,1.72,6
F. Cáseres,22,Argentina,178,66,65,CM,67,59,63,68,53,55,64,47,68,70,1.0,1.78,4
G. Jean,23,France,191,80,65,CB,55,33,45,44,65,70,62,74,42,27,0.0,1.91,1
C. Harper,21,United States,176,71,65,RW,86,57,52,69,49,56,69,51,71,46,1.0,1.76,9
E. Longelo,22,England,181,70,65,LB,81,52,60,64,57,60,68,57,69,57,0.0,1.81,6
Arana,23,Spain,182,71,65,ST,66,67,54,62,33,57,61,63,64,51,1.0,1.82,10
Marian Huja,23,Portugal,191,80,65,CB,62,38,45,47,64,76,77,78,65,37,0.0,1.91,1
S. Magnússon,23,Iceland,171,65,65,ST,75,64,57,68,33,60,64,58,69,61,1.0,1.71,10
Mantilla,23,Spain,184,71,65,RB,55,26,56,53,62,66,74,71,46,35,1.0,1.84,8
B. Ortega,20,Venezuela,175,63,65,CDM,73,61,63,65,59,56,81,42,69,67,1.0,1.75,2
Raúl Parra,23,Spain,187,77,65,RB,62,48,53,55,66,67,62,73,51,39,1.0,1.87,8
Medrano,23,Spain,172,63,65,LB,67,46,59,64,61,47,63,36,55,51,0.0,1.72,6
B. Brahimi,23,France,177,70,65,CM,71,61,66,70,47,57,68,55,70,68,0.0,1.77,4
E. Terpiłowski,21,Poland,176,70,65,RW,86,59,58,62,25,66,79,63,76,68,1.0,1.76,9
Volnei Feltes,23,Brazil,188,75,65,CB,54,39,33,38,68,65,53,72,40,28,1.0,1.88,1
L. Joseph,22,France,183,73,65,ST,78,67,53,62,22,59,70,60,69,54,1.0,1.83,10
K. Corredor,22,France,182,72,65,ST,89,65,56,63,24,62,70,66,77,59,1.0,1.82,10
J. Moreno,23,Colombia,194,80,65,GK,44,63,63,30,64,77,30,77,30,35,1.0,1.94,5
Ander Martín,22,Spain,176,78,65,LW,70,62,61,68,50,52,61,56,68,63,0.0,1.76,7
Enric Llansana,22,Netherlands,183,63,65,CDM,59,44,62,63,63,65,80,60,59,66,1.0,1.83,2
K. Krygård,23,Norway,184,70,65,CDM,62,54,60,63,63,76,82,77,73,62,1.0,1.84,2
Jajá,22,Brazil,177,70,65,RW,82,54,55,72,22,45,53,42,85,54,1.0,1.77,9
S. Banse,22,Burkina Faso,176,71,65,CDM,75,51,61,66,62,66,75,61,68,63,1.0,1.76,2
Pedrinho,20,Brazil,177,67,65,LB,74,26,50,52,61,52,74,43,68,37,0.0,1.77,6
Joan Puig,20,Spain,184,75,65,LB,75,47,57,62,61,63,66,63,67,54,0.0,1.84,6
A. Diaby,22,Mali,198,100,65,CB,60,27,41,41,62,82,68,93,56,35,1.0,1.98,1
B. Akinsola,20,Nigeria,175,68,65,RW,67,55,59,72,28,42,36,42,82,58,0.0,1.75,9
Z. El Ouahdi,21,Morocco,172,60,65,RW,70,53,62,73,28,41,58,35,82,66,1.0,1.72,9
S. Olaya,20,Peru,172,62,65,LW,66,54,60,69,47,46,64,38,69,62,1.0,1.72,7
A. Joujou,20,France,189,75,65,RW,69,63,57,66,22,53,53,56,63,60,1.0,1.89,9
Y. Bamidele,22,Nigeria,180,75,65,LW,84,60,55,69,31,60,75,63,78,54,0.0,1.8,7
López-Pinto,21,Spain,183,76,65,LW,67,62,59,67,28,64,68,67,61,52,1.0,1.83,7
A. Pyrka,20,Poland,177,72,65,RB,84,59,59,65,58,50,58,51,77,58,1.0,1.77,8
R. Jureškin,22,Croatia,188,80,65,LB,81,51,60,67,56,64,78,61,80,57,0.0,1.88,6
Jandro Orellana,22,Spain,176,63,65,CDM,60,44,64,63,65,49,38,48,55,61,1.0,1.76,2
K. Trewin,22,Australia,178,72,65,CDM,66,43,57,61,64,71,78,70,67,57,1.0,1.78,2
B. Fazliji,24,Kosovo,186,81,65,CB,67,41,52,56,63,74,72,76,58,53,1.0,1.86,1
S. Voet,23,Belgium,191,77,65,CB,55,39,41,51,67,67,58,77,50,27,0.0,1.91,1
S. Silvera,22,Australia,173,69,65,LW,73,58,56,69,35,59,71,51,70,56,1.0,1.73,7
A. Antunes,22,Switzerland,181,73,65,CM,70,56,63,71,51,63,75,61,75,68,1.0,1.81,4
H. Quintana,21,Paraguay,175,70,65,CM,64,58,64,67,54,52,69,49,78,62,1.0,1.75,4
A. Zagré,21,France,168,60,65,LB,81,43,58,67,57,50,70,34,90,52,0.0,1.68,6
Emilio Bernad,23,Spain,184,75,65,GK,54,66,67,52,66,53,28,53,52,30,1.0,1.84,5
E. Frederiksen,22,Denmark,175,71,65,RW,75,60,62,69,41,49,64,42,87,66,0.0,1.75,9
Gabriel Brazão,22,Brazil,192,85,65,GK,48,61,61,34,65,73,24,73,34,34,1.0,1.92,5
P. Maghoma,22,England,178,74,65,CDM,67,54,62,66,60,68,72,66,71,64,1.0,1.78,2
A. Lyons,22,Republic of Ireland,178,78,65,RB,72,57,58,61,61,62,72,57,68,60,1.0,1.78,8
Moha Ramos,23,Spain,188,85,65,GK,46,64,62,24,64,62,33,62,24,32,1.0,1.88,5
Jung Ho Yeon,22,Korea Republic,180,73,65,CM,55,46,58,66,60,67,83,60,60,66,1.0,1.8,4
A. Poulsen,23,Denmark,188,80,65,LB,65,44,58,64,61,72,67,78,66,50,0.0,1.88,6
T. Makowski,23,Poland,178,72,65,CDM,70,55,58,63,60,72,81,69,72,58,1.0,1.78,2
T. Arce,23,Paraguay,168,68,65,RW,72,64,61,66,26,53,58,57,68,60,1.0,1.68,9
F. Bianchi,23,Italy,178,74,65,ST,72,67,48,63,27,57,62,60,71,52,1.0,1.78,10
Y. Özdemir,22,Turkey,181,73,65,LB,80,40,55,64,57,65,82,59,78,47,0.0,1.81,6
O. Aydın,22,Turkey,183,76,65,LW,73,64,57,67,31,55,62,58,67,58,1.0,1.83,7
J. Gómez,21,United States,183,75,65,CF,81,63,51,70,38,65,76,66,80,61,1.0,1.83,3
F. Kleinhansl,22,Germany,180,72,65,LB,74,39,62,69,54,61,81,56,81,64,0.0,1.8,6
J. Braut-Brunes,22,Norway,189,82,65,ST,74,62,54,63,42,72,62,78,65,54,0.0,1.89,10
D. Oroz,22,Croatia,192,75,65,CB,56,37,53,50,65,68,66,68,53,39,1.0,1.92,1
A. Carlén,23,Sweden,193,85,65,CDM,68,43,56,66,60,79,83,82,64,56,1.0,1.93,2
É. Guerra,22,Colombia,172,65,65,RW,85,50,57,64,28,45,63,40,85,62,1.0,1.72,9
K. Sène,22,Senegal,180,72,65,ST,82,64,61,67,27,59,67,59,80,64,1.0,1.8,10
H. Roberts,21,England,175,68,65,LB,72,47,60,66,62,67,68,70,70,59,0.0,1.75,6
Diego Conde,24,Spain,187,83,65,GK,56,61,63,58,67,62,31,62,58,38,1.0,1.87,5
F. Delgado,24,Colombia,174,63,65,LB,74,28,49,57,60,58,60,56,58,33,0.0,1.74,6
A. Ławniczak,24,Poland,189,87,65,CB,82,27,41,40,63,75,64,85,48,28,1.0,1.89,1
D. Cleonise,21,Netherlands,179,70,65,RW,76,59,61,68,34,49,49,48,72,61,1.0,1.79,9
P. Dahlberg,24,Sweden,194,86,65,GK,54,61,61,24,67,61,35,61,24,44,1.0,1.94,5
André Luiz,21,Brazil,185,70,65,ST,74,66,48,64,20,62,71,62,61,48,0.0,1.85,10
K. Bilovar,22,Ukraine,191,71,65,CB,65,34,37,44,66,68,64,74,46,34,1.0,1.91,1
Hevertton,22,Brazil,183,73,65,RB,73,37,52,65,63,70,73,71,63,54,1.0,1.83,8
M. Tonetto,22,Italy,179,74,65,LB,80,51,60,64,61,63,59,66,73,56,0.0,1.79,6
Y. Zapata,22,Colombia,175,68,65,LW,77,63,58,68,28,66,73,74,73,46,1.0,1.75,7
M. Chiesa,22,Italy,190,82,65,GK,52,65,67,51,64,69,28,69,51,37,1.0,1.9,5
Vitinho,23,Brazil,175,68,65,CM,65,66,64,68,54,55,63,57,70,68,1.0,1.75,4
F. Donati,22,Italy,185,81,65,RB,70,42,58,62,60,64,71,61,67,53,1.0,1.85,8
I. Gurău,24,Romania,198,91,65,GK,46,62,60,23,65,72,23,72,23,28,1.0,1.98,5
C. Twigt,20,Netherlands,183,74,65,CM,60,54,62,65,61,65,67,66,55,62,1.0,1.83,4
Kim Jin Ho,23,Korea Republic,178,74,65,RB,74,49,47,65,58,62,80,59,74,41,1.0,1.78,8
João Valido,23,Portugal,185,77,65,GK,44,66,66,47,64,55,23,55,47,41,1.0,1.85,5
D. Bîrligea,23,Romania,182,70,65,ST,76,63,52,65,25,66,69,64,68,46,1.0,1.82,10
V. Eriksson,22,Sweden,192,82,65,CB,62,36,49,48,63,76,70,81,46,34,1.0,1.92,1
S. Opsahl,23,Norway,187,67,65,CM,68,57,65,65,61,65,78,60,67,63,1.0,1.87,4
J. Bartels,24,Germany,188,80,65,GK,53,63,61,22,67,58,17,58,22,22,1.0,1.88,5
T. Matthews,22,South Africa,175,70,65,LW,82,58,58,69,30,58,73,57,88,62,1.0,1.75,7
G. Kilkenny,23,Republic of Ireland,170,64,65,CDM,61,53,64,67,60,55,69,46,81,67,1.0,1.7,2
Manu Hernando,24,Spain,183,70,65,CB,60,42,49,58,66,70,72,72,60,38,1.0,1.83,1
J. Guttau,23,Germany,180,75,65,LW,81,50,60,68,38,56,73,50,84,57,0.0,1.8,7
N. Al Dawsari,24,Saudi Arabia,178,68,65,LB,68,59,68,67,58,59,65,58,79,65,0.0,1.78,6
V. Torp,23,Denmark,178,68,65,CAM,68,60,65,69,53,56,63,54,76,64,1.0,1.78,0
Lucas Ventura,25,Brazil,180,82,65,CDM,71,46,57,58,64,76,72,82,67,55,1.0,1.8,2
D. Kurminowski,24,Poland,182,73,65,ST,83,62,47,63,25,75,70,78,73,50,1.0,1.82,10
L. Ndenbe,23,Belgium,175,73,65,LB,78,29,58,66,60,67,70,64,78,49,0.0,1.75,6
N. Trott,24,England,188,75,65,GK,54,65,66,42,66,42,28,42,42,45,0.0,1.88,5
S. Hausner,23,Denmark,188,79,65,CB,70,35,50,59,63,74,72,79,63,40,1.0,1.88,1
A. Souper,24,Chile,173,66,65,CAM,66,61,62,70,35,45,52,45,80,67,0.0,1.73,0
D. Rigo,24,Belgium,180,75,65,CDM,54,58,69,67,60,61,61,60,66,71,1.0,1.8,2
A. Halme,25,Finland,196,78,65,CB,47,21,45,55,63,71,58,78,39,32,1.0,1.96,1
